nome;id;email;matriculas
CAUA;368;caua@email.com.br;2
SIDNEI;182;sidnei@email.com.br;1
EMANUEL;144;emanuel@email.com.br;2
VALDEMAR;386;valdemar@mailto.com;4
JAIME;153;jaime@mailto.com;2
EDIVALDO;81;edivaldo@mailto.com;5
ARNALDO;118;arnaldo@mailto.com;1
MOACIR;157;moacir@email.com.br;3
DAMIAO;247;damiao@email.com.br;2
ISMAEL;202;ismael@email.com.br;1
NIVALDO;308;nivaldo@mailto.com;1
JAIRO;105;jairo@mailto.com;1
ISAIAS;62;isaias@email.com.br;2
MICHEL;109;michel@mailto.com;3
ANGELO;128;angelo@email.com.br;1
CRISTIAN;82;cristian@email.com.br;1
WELLINGTON;394;wellington@email.com.br;1
ALEXANDRO;243;alexandro@email.com.br;5
VALDEMIR;45;valdemir@mailto.com;1
WANDERSON;165;wanderson@email.com.br;3
JAILSON;314;jailson@email.com.br;1
DENIS;90;denis@email.com.br;2
RIAN;317;rian@email.com.br;2
CELIO;375;celio@email.com.br;1
CLAUDINEI;353;claudinei@mailto.com;1
DENILSON;250;denilson@mailto.com;12
IAGO;299;iago@email.com.br;2
EDER;167;eder@email.com.br;1
YURI;168;yuri@email.com.br;2
CHARLES;389;charles@email.com.br;1
MARLON;8;marlon@mailto.com;2
ALISON;282;alison@mailto.com;2
JONATAN;116;jonatan@email.com.br;1
ERIC;319;eric@mailto.com;1
ELTON;229;elton@email.com.br;1
VALDECIR;369;valdecir@email.com.br;3
WESLEI;137;weslei@email.com.br;5
NATANAEL;346;natanael@mailto.com;1
ERICK;264;erick@email.com.br;2
AGNALDO;237;agnaldo@mailto.com;1
KAUAN;146;kauan@email.com.br;1
ODAIR;277;odair@mailto.com;1
WALTER;227;walter@email.com.br;2
ARLINDO;222;arlindo@email.com.br;2
MICHAEL;50;michael@mailto.com;1
ALVARO;38;alvaro@mailto.com;1
GEOVANE;35;geovane@email.com.br;5
MARIA;331;maria@mailto.com;1
ANA;24;ana@email.com.br;1
FRANCISCA;205;francisca@email.com.br;1
ANTONIA;382;antonia@email.com.br;4
ADRIANA;230;adriana@email.com.br;2
JULIANA;11;juliana@email.com.br;2
MARCIA;67;marcia@email.com.br;1
FERNANDA;29;fernanda@mailto.com;1
PATRICIA;208;patricia@mailto.com;1
ALINE;390;aline@email.com.br;3
SANDRA;125;sandra@mailto.com;2
CAMILA;219;camila@mailto.com;1
AMANDA;162;amanda@email.com.br;1
BRUNA;195;bruna@mailto.com;1
JESSICA;138;jessica@mailto.com;2
LETICIA;293;leticia@email.com.br;2
JULIA;224;julia@mailto.com;2
LUCIANA;113;luciana@email.com.br;4
VANESSA;70;vanessa@mailto.com;3
MARIANA;133;mariana@mailto.com;3
GABRIELA;101;gabriela@mailto.com;2
VERA;309;vera@email.com.br;1
VITORIA;311;vitoria@mailto.com;1
LARISSA;321;larissa@email.com.br;5
CLAUDIA;400;claudia@mailto.com;1
BEATRIZ;236;beatriz@mailto.com;2
RITA;86;rita@email.com.br;3
LUANA;327;luana@email.com.br;1
SONIA;302;sonia@mailto.com;6
RENATA;267;renata@email.com.br;4
ELIANE;111;eliane@mailto.com;1
JOSEFA;336;josefa@mailto.com;1
SIMONE;322;simone@mailto.com;4
NATALIA;330;natalia@mailto.com;1
CRISTIANE;152;cristiane@mailto.com;1
CARLA;188;carla@mailto.com;2
DEBORA;364;debora@email.com.br;1
ROSANGELA;123;rosangela@email.com.br;2
JAQUELINE;294;jaqueline@email.com.br;2
ROSA;132;rosa@email.com.br;2
APARECIDA;139;aparecida@mailto.com;1
DANIELA;204;daniela@mailto.com;3
MARLENE;93;marlene@email.com.br;6
TEREZINHA;339;terezinha@mailto.com;1
RAIMUNDA;318;raimunda@mailto.com;4
ANDREIA;196;andreia@mailto.com;1
FABIANA;63;fabiana@mailto.com;1
LUCIA;210;lucia@email.com.br;3
RAQUEL;384;raquel@mailto.com;1
ANGELA;337;angela@mailto.com;1
RAFAELA;183;rafaela@mailto.com;1
JOANA;175;joana@mailto.com;1
LUZIA;220;luzia@email.com.br;1
ELAINE;356;elaine@mailto.com;2
REGINA;164;regina@mailto.com;1
DANIELE;186;daniele@mailto.com;1
SUELI;46;sueli@email.com.br;2
DAIANE;345;daiane@email.com.br;1
ALESSANDRA;131;alessandra@mailto.com;8
ISABEL;51;isabel@email.com.br;1
SARA;98;sara@email.com.br;2
BIANCA;198;bianca@email.com.br;3
FLAVIA;216;flavia@mailto.com;1
ERICA;239;erica@mailto.com;1
VIVIANE;290;viviane@mailto.com;1
SILVANA;395;silvana@mailto.com;1
PRISCILA;348;priscila@mailto.com;2
PAULA;64;paula@email.com.br;2
LUIZA;283;luiza@email.com.br;1
TEREZA;170;tereza@email.com.br;1
ISABELA;248;isabela@email.com.br;2
MARTA;258;marta@mailto.com;3
CAROLINE;252;caroline@email.com.br;2
JANAINA;270;janaina@email.com.br;1
LAURA;355;laura@email.com.br;4
MARLI;392;marli@mailto.com;1
TATIANE;154;tatiane@mailto.com;1
MARINA;360;marina@email.com.br;2
SILVIA;41;silvia@email.com.br;3
MONICA;307;monica@mailto.com;2
TAIS;373;tais@mailto.com;2
MICHELE;66;michele@mailto.com;1
SOLANGE;207;solange@mailto.com;1
EDNA;9;edna@email.com.br;1
FATIMA;78;fatima@mailto.com;3
HELENA;59;helena@mailto.com;5
CRISTINA;251;cristina@email.com.br;2
ALICE;120;alice@mailto.com;1
CAROLINA;142;carolina@mailto.com;2
ROSANA;89;rosana@email.com.br;1
ANDRESSA;365;andressa@mailto.com;1
CELIA;255;celia@mailto.com;12
VALERIA;61;valeria@mailto.com;2
ELIANA;257;eliana@mailto.com;2
SABRINA;344;sabrina@email.com.br;4
ANDREA;47;andrea@email.com.br;1
TANIA;87;tania@mailto.com;2
BARBARA;110;barbara@mailto.com;1
THAIS;134;thais@email.com.br;1
DENISE;17;denise@email.com.br;2
ROSELI;194;roseli@email.com.br;2
GISELE;363;gisele@email.com.br;1
MARILENE;117;marilene@mailto.com;1
KATIA;295;katia@mailto.com;1
EVA;28;eva@mailto.com;2
MILENA;141;milena@mailto.com;3
EDUARDA;199;eduarda@email.com.br;4
ELISANGELA;15;elisangela@email.com.br;1
VILMA;88;vilma@mailto.com;5
GEOVANA;266;geovana@mailto.com;3
LUCIENE;263;luciene@email.com.br;1
TAMIRES;223;tamires@email.com.br;1
TATIANA;244;tatiana@email.com.br;1
ROBERTA;260;roberta@mailto.com;1
ELZA;320;elza@email.com.br;1
TALITA;104;talita@email.com.br;1
MARCELA;150;marcela@mailto.com;1
PAMELA;140;pamela@mailto.com;2
VANIA;68;vania@mailto.com;1
IRENE;4;irene@mailto.com;2
JOSIANE;57;josiane@email.com.br;2
LIVIA;305;livia@email.com.br;1
CINTIA;234;cintia@email.com.br;1
IVONE;52;ivone@mailto.com;2
LAIS;2;lais@email.com.br;4
BENEDITA;19;benedita@email.com.br;1
SEBASTIANA;269;sebastiana@email.com.br;3
TAINA;374;taina@email.com.br;3
JOICE;313;joice@mailto.com;1
MIRIAN;26;mirian@mailto.com;1
ELIZABETE;184;elizabete@mailto.com;2
ANGELICA;187;angelica@email.com.br;3
GABRIELE;44;gabriele@mailto.com;4
BRENDA;130;brenda@email.com.br;1
VERONICA;245;veronica@mailto.com;2
ROSILENE;256;rosilene@email.com.br;1
KARINA;271;karina@email.com.br;1
NAIR;376;nair@mailto.com;3
NEUSA;155;neusa@mailto.com;1
MARGARIDA;71;margarida@mailto.com;1
NEUZA;361;neuza@email.com.br;3
NEIDE;159;neide@mailto.com;1
RAISSA;378;raissa@email.com.br;2
MAIARA;272;maiara@email.com.br;3
LORENA;147;lorena@mailto.com;1
FRANCIELE;206;franciele@mailto.com;2
SAMARA;279;samara@mailto.com;3
LILIAN;315;lilian@mailto.com;3
JANETE;332;janete@email.com.br;4
CICERA;65;cicera@mailto.com;1
GIOVANA;326;giovana@mailto.com;2
SEVERINA;393;severina@mailto.com;1
LARA;169;lara@mailto.com;2
CLEIDE;77;cleide@mailto.com;3
NICOLE;291;nicole@email.com.br;1
CECILIA;351;cecilia@email.com.br;2
YASMIN;119;yasmin@email.com.br;3
CONCEICAO;214;conceicao@email.com.br;5
INGRID;354;ingrid@email.com.br;2
SELMA;359;selma@email.com.br;1
LEILA;181;leila@mailto.com;1
RAIANE;349;raiane@email.com.br;4
ESTER;100;ester@mailto.com;1
REGIANE;362;regiane@email.com.br;4
MARISA;136;marisa@mailto.com;1
EUNICE;177;eunice@email.com.br;6
KELLY;385;kelly@mailto.com;1
TAINARA;85;tainara@mailto.com;4
IARA;398;iara@mailto.com;2
JOELMA;40;joelma@mailto.com;2
MARINALVA;341;marinalva@mailto.com;6
TERESINHA;3;teresinha@email.com.br;5
REBECA;312;rebeca@mailto.com;3
GERALDA;306;geralda@email.com.br;2
CLEONICE;69;cleonice@mailto.com;2
ALEXANDRA;209;alexandra@email.com.br;1
MARA;388;mara@mailto.com;1
JENIFER;254;jenifer@email.com.br;1
ELIZANGELA;335;elizangela@email.com.br;1
LILIANE;340;liliane@email.com.br;1
LIDIA;112;lidia@mailto.com;1
IRACEMA;225;iracema@email.com.br;3
LIDIANE;33;lidiane@email.com.br;1
IRACI;74;iraci@email.com.br;2
MARILIA;48;marilia@email.com.br;1
SHEILA;127;sheila@email.com.br;2
INES;114;ines@mailto.com;1
NAIARA;97;naiara@email.com.br;1
POLIANA;226;poliana@mailto.com;3
DALVA;215;dalva@mailto.com;1
LURDES;58;lurdes@mailto.com;4
TERESA;124;teresa@mailto.com;1
ZILDA;107;zilda@mailto.com;5
LUCILENE;84;lucilene@mailto.com;1
CLARA;18;clara@mailto.com;1
ROSANE;231;rosane@email.com.br;2
IVONETE;99;ivonete@mailto.com;5
LUCIANE;323;luciane@email.com.br;1
ISADORA;383;isadora@mailto.com;3
NILZA;366;nilza@mailto.com;2
